Date,Mid Price
5/17/2020,861.1
5/16/2020,385.27
5/15/2020,374.22
5/14/2020,508.02
5/13/2020,553.21
5/12/2020,442.15
5/11/2020,527.36
5/10/2020,536.09
5/9/2020,621.96
5/8/2020,488.53
5/7/2020,504.24
5/6/2020,498.71
5/5/2020,807.66
5/4/2020,449.38
5/3/2020,541.24
5/2/2020,387.24
5/1/2020,516.72
4/30/2020,440.07
4/29/2020,439.11
4/28/2020,479.89
4/27/2020,642.66
4/26/2020,855.17
4/25/2020,555.71
4/24/2020,562.5
4/23/2020,505.54
4/22/2020,511.42
4/21/2020,599.13
4/20/2020,618.66
4/19/2020,594.11
4/18/2020,529.03
4/17/2020,573.7
4/16/2020,505.52
4/15/2020,455.68
4/14/2020,441.32
4/13/2020,638.81
4/12/2020,558.22
4/11/2020,547.4
4/10/2020,461.87
4/9/2020,417.54
4/8/2020,524.13
4/7/2020,468.08
4/6/2020,605.38
4/5/2020,739.55
4/4/2020,636.21
4/3/2020,540.5
4/2/2020,738.02
4/1/2020,474.81
3/31/2020,516.55
3/30/2020,361.46
3/29/2020,743.13
3/28/2020,515.39
3/27/2020,557.18
3/26/2020,670.3
3/25/2020,449.86
3/24/2020,596.78
3/23/2020,572.94
3/22/2020,651.07
3/21/2020,538.95
3/20/2020,633.51
3/19/2020,514.67
3/18/2020,455.45
3/17/2020,378.92
3/16/2020,323.71
3/15/2020,468.43
3/14/2020,236.03
3/13/2020,330.85
3/12/2020,187.08
3/11/2020,234.73
3/10/2020,296.12
3/9/2020,276.24
3/8/2020,250.63
3/7/2020,122.57
3/6/2020,132.5
3/5/2020,118.02
3/4/2020,197.2
3/3/2020,132.55
3/2/2020,153.53
3/1/2020,175.73
2/29/2020,225.32
2/28/2020,172.45
2/27/2020,106.55
2/26/2020,97.49
2/25/2020,147.84
2/24/2020,88.73
2/23/2020,144.34
2/22/2020,177.27
2/21/2020,106.59
2/20/2020,103.7
2/19/2020,56.47
2/18/2020,77.38
2/17/2020,82.54
2/16/2020,131.52
2/15/2020,82.1
2/14/2020,71.98
2/13/2020,82.23
2/12/2020,79.26
2/11/2020,152.71
2/10/2020,111.39
2/9/2020,113.95
2/8/2020,87.8
2/7/2020,130.27
2/6/2020,81.75
2/5/2020,84.94
2/4/2020,111.96
2/3/2020,124.15
2/2/2020,104.49
2/1/2020,147.37
1/31/2020,122.2
1/30/2020,142.05
1/29/2020,88.62
1/28/2020,94.68
1/27/2020,22.25
1/26/2020,137.56
1/25/2020,78.77
1/24/2020,48.48
1/23/2020,70.67
1/22/2020,77.19
1/21/2020,87.56
1/20/2020,96.05
1/19/2020,162.21
1/18/2020,89.29
1/17/2020,77.76
1/16/2020,88.05
1/15/2020,98.77
1/14/2020,109.27
1/13/2020,124.82
1/12/2020,159.24
1/11/2020,127.36
1/10/2020,74.58
1/9/2020,71.92
1/8/2020,91.15
1/7/2020,103.98
1/6/2020,147.96
1/5/2020,173.76
1/4/2020,212.82
1/3/2020,108.1
1/2/2020,139.13
1/1/2020,186.06
12/31/2019,105.75
12/30/2019,101.31
12/29/2019,245.14
12/28/2019,123.1
12/27/2019,127.92
12/26/2019,106.92
12/25/2019,43.46
